GlaThiDa_ID,SURVEY_FREQUENCY,SURVEY_METHOD,MAXIMUM_THICKNESS
487,200,GPRt,17
488,200,GPRt,52
489,200,GPRt,13
490,200,GPRt,16
491,NaN,GPRa,NaN
492,NaN,GPRa,NaN
493,NaN,GPRa,NaN
494,NaN,GPRa,NaN
495,NaN,GPRa,NaN
496,NaN,GPRa,NaN
497,NaN,GPRt,226
498,50,GPRt,NaN
500,NaN,GEL,107
501,100,GPRt,82
502,100,GPRt,71
503,NaN,GPRt,140
504,2.5,GPRt,85
505,NaN,,132
506,NaN,,126
507,30,GPRh,624
508,30,GPRh,799
510,NaN,GPRt,413
511,NaN,GPRt,170
512,2.5,GPRt,617
513,NaN,GPRt,222
514,NaN,GPRt,114
515,NaN,GPRt,94
516,NaN,GPRt,42
525,NaN,GPRt,54
528,1,GPRa,670
529,NaN,GPRt,139
530,NaN,GPRt,98
531,NaN,GPRt,48
532,NaN,GPRt,44
533,NaN,GPRt,97
534,NaN,GPRt,106
535,NaN,GPRt,42
536,NaN,GPRt,117
537,NaN,GPRt,105
538,NaN,GPRt,138
539,NaN,GPRt,75
540,NaN,GPRt,90
541,NaN,GPRt,73
542,NaN,GPRt,192
543,NaN,GPRt,105
544,NaN,GPRt,75
545,NaN,GPRt,89
546,NaN,GPRt,79
548,NaN,GPRt,144
549,NaN,GPRt,263
550,NaN,GPRt,163
551,NaN,GPRt,218
552,NaN,GPRt,214
553,NaN,GPRt,148
554,NaN,DRIh,138
555,100,GPRa,238
556,100,GPRa,291
557,100,GPRa,212
558,100,GPRa,144
559,100,GPRa,230
1933,6.5,GPRt,82
1934,6.5,GPRt,137
1935,6.5,GPRt,83
1936,6.5,GPRt,214
1937,6.5,GPRt,60
1938,NaN,GPRt,44
1939,NaN,GPRt,31
1940,NaN,GPRt,59
1941,NaN,GPRt,47
1942,NaN,GPRt,63
1943,NaN,GPRt,81
1944,NaN,GPRt,33
1945,NaN,GPRt,43
1946,NaN,GPRt,63
1947,6.5,GPRt,163
1948,6.5,GPRt,97
1949,6.5,GPRt,87
1950,6.5,GPRt,69
1951,6.5,GPRt,74
1952,6.5,GPRt,56
1953,6.5,GPRt,107
1954,6.5,GPRt,178
1955,6.5,GPRt,99
1956,6.5,GPRt,108
1957,6.5,GPRt,124
1958,6.5,GPRt,221
1959,6.5,GPRt,55
1960,6.5,GPRt,32
1961,6.5,GPRt,76
1962,6.5,GPRt,201
1963,6.5,GPRt,131
1964,6.5,GPRt,242
1965,6.5,GPRt,155
1966,6.5,GPRt,100
1967,6.5,GPRt,111
1968,6.5,GPRt,119
1969,6.5,GPRt,70
1970,6.5,GPRt,155
1971,6.5,GPRt,147
1972,6.5,GPRt,131
1973,6.5,GPRt,131
1974,6.5,GPRt,187
1975,6.5,GPRt,188
1977,6.5,GPRt,98
1978,6.5,GPRt,42
1979,6.5,GPRt,208
1980,6.5,GPRt,163
1981,6.5,GPRt,167
1982,6.5,GPRt,85
1983,6.5,GPRt,311
1984,6.5,GPRt,78
1985,6.5,GPRt,62
1986,6.5,GPRt,104
1987,6.5,GPRt,117
1988,6.5,GPRt,94
1989,6.5,GPRt,131
1990,6.5,GPRt,197
1991,6.5,GPRt,70
1992,6.5,GPRt,107
1993,6.5,GPRt,94
1994,6.5,GPRt,35
1995,6.5,GPRt,93
1996,6.5,GPRt,142
1997,6.5,GPRt,151
1998,6.5,GPRt,131
1999,6.5,GPRt,153
2000,6.5,GPRt,82
2001,6.5,GPRt,26
2002,6.5,GPRt,110
2003,6.5,GPRt,219
2004,6.5,GPRt,62
2005,6.5,GPRt,129
2006,6.5,GPRt,67
2007,6.5,GPRt,83
2008,6.5,GPRt,80
2009,6.5,GPRt,74
2010,4,GPRt,134
2093,10,GPRt,48
2011,10,GPRt,53
2012,10,GPRt,109
2013,100,GPRa,22
2014,100,GPRa,50
2015,100,GPRa,44
2016,100,GPRa,48
2017,30,GPRh,57
2018,50,GPRa,54
2019,100,GPRa,29
2020,100,GPRa,18
2021,100,GPRa,51
2022,100,GPRa,58
2023,100,GPRa,44
2024,100,GPRa,57
2025,25,GPRa,174
2026,100,GPRa,36
2027,50,GPRh,132
2028,50,GPRh,91
2029,50,GPRh,69
2030,50,GPRh,206
2031,50,GPRh,185
2032,50,GPRh,300
2033,50,GPRh,146
2034,25,GPRh,122
2035,25,GPRh,79
2036,25,GPRh,190
2037,25,GPRh,138
2038,25,GPRh,113
2039,25,GPRh,57
2040,25,GPRh,775
2041,25,GPRh,118
2042,25,GPRh,262
2043,25,GPRh,94
2044,25,GPRh,191
2045,50,GPRh,151
2046,50,GPRh,83
2047,50,GPRh,88
2048,50,GPRh,97
2049,50,GPRh,128
2050,50,GPRh,138
2051,50,GPRh,95
2052,50,GPRh,116
2053,50,GPRh,90
2054,50,GPRh,205
2055,50,GPRh,342
2057,10,GPRh,220
2058,10,GPRh,233
2059,10,GPRh,182
2060,10,GPRh,257
2061,50,GPRt,137
2062,10,GPRh,211
2063,10,GPRh,357
2065,10,GPRh,375
2066,10,GPRh,471
2067,10,GPRh,388
2068,10,GPRh,386
2069,10,GPRh,535
2070,8,GPRh,325
2071,8.1,GPRt,635
2072,20,GPRt,105
2073,20,GPRt,105
2074,20,GPRt,333
2075,25,GPRt,285
2076,25,GPRt,212
2077,5,GPRt,149
2078,10,GPRt,181
2079,10,GPRt,204
2080,195,GPRt,1020
2081,3,GPRt,953
2082,NaN,SEI,633
2083,100,GPRt,141
2084,5,GPRt,185
2085,NaN,GPRt,122
2086,NaN,GPRt,104
2087,NaN,GPRt,140
2088,NaN,GPRt,140
2089,NaN,GPRt,120
2090,20,GPRt,159
2091,25,GPRt,83
